Common Name,Latin Name,Image,Category,Ecological Status,Evergreen,Seasonal Interest,Height Class,Sun Exposure,Moisture Preference,Notes,inaturalist image url,curated image url,Habitat Patch Role,Aggressive,Patch Scale,Mesic South- Facing Heat,Dry Upper Slope,Mid-Slope Mesic,Moist Lower Area,Woodland Edge,Conifer Shade,Dry Slope,Native L3_58,Native L3_598,Native L3_64,Native L3_84,Plant Form,Max Height (ft),Foliage Color,deer_pressure,rabbit_damage,vole_girdling_risk,toxic_dogs,toxic_cats,toxic_children,juglone_sensitivity,white_pine_tolerance,norway_maple_tolerance,seed_ripe_start,seed_ripe_end,seed_notes,caterpillar_species,propagation_notes,edible,edible_notes,medicinal,medicinal_notes,Flower Color,Bloom Period,bloom_start_idx,bloom_end_idx,Flower Color,flower_color_hex,Latin Name for alignment
American Spikenard,Aralia racemosa,,Flowering Perennial,Native,No,Berries; bold foliage,Large,Part Shade–Shade,Mesic,Large aromatic woodland perennial producing berries,https://inaturalist-open-data.s3.amazonaws.com/photos/9802195/medium.jpeg,,Understory fill,N,Large,3 - OK,2 - Marginal,4 - Strong,3 - OK,5 - Best Fit,5 - Best Fit,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,8,,medium,medium,low,no,no,no,unknown,tolerant,marginal,August,September,Dark purple berries; clean pulp; cold stratify,15,Divide in early spring as shoots emerge; spreads by rhizome,with caveats,Berries edible cooked; not raw,no,,white | cream,Summer,6,8,white | cream,#FFFFFF,Aralia racemosa
Bearberry / Kinnikinnick,Arctostaphylos uva-ursi,,Groundcover,Native,Yes,Spring / Summer,Low,Full Sun,Dry,Mat-forming evergreen for hot dry slopes,https://static.inaturalist.org/photos/181302737/medium.jpeg,https://upload.wikimedia.org/wikipedia/commons/9/90/Bearberry_%28Arctostaphylos_uva-ursi%29_-_geograph.org.uk_-_2718448.jpg,Ground,N,Small,4 - Strong,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,1,dark green,low,low,low,no,no,no,unknown,tolerant,avoid,August,September,Red berries; clean pulp; slow to germinate,20,Layer stems in spring; slow from division — layering easier,no,Mealy fruit; edible but not palatable,yes,Leaves used medicinally for urinary tract support,white | pink,Late Spring,4,5,white | pink,#FFFFFF,Arctostaphylos uva-ursi
Green Dragon,Arisaema dracontium,,Flowering Perennial,Native,No,Woodland curiosity bloom,Medium,Shade,Mesic,Tall woodland aroid with distinctive narrow spadix,https://inaturalist-open-data.s3.amazonaws.com/photos/4020152/medium.jpg,,Understory fill,N,Medium,Woodland aroid; dragon-like spadix; thrives in rich shade,,,,,,,Yes,Yes,Yes,Yes,Herbaceous,3,,low,low,low,yes,yes,yes,unknown,marginal,avoid,September,October,Cluster of red berries; clean pulp; cold stratify,5,Divide offsets (corms) in early spring; leave main plant undisturbed,no,Toxic raw,no,,green,Spring,3,5,green,#5A9E5A,Arisaema dracontium
Jack in the Pulpit,Arisaema triphyllum,,Foliage Perennial,Native,No,Spring,Mid,Part Sun–Shade,Mesic–Moist,Shady woodland hooded flowers,https://inaturalist-open-data.s3.amazonaws.com/photos/4001130/medium.jpeg,,Anchor,N,Small,1 - Poor Fit,1 - Don't Use,3 - OK,4 - Strong,4 - Strong,4 - Strong,1 - Poor Fit,Yes,Yes,Yes,Yes,Herbaceous,1.5,,low,low,low,yes,yes,yes,unknown,marginal,avoid,September,October,Cluster of red berries; clean pulp; cold stratify,5,Divide offsets (corms) in early spring; leave main plant undisturbed,with caveats,Edible only if thoroughly dried and processed; toxic raw,no,,green | purple,Early Spring,2,3,green | purple,#5A9E5A,Arisaema triphyllum
Red Chokeberry,Aronia arbutifolia,,Shrub – Large,Native,No,Spring / Fall / Winter,Structural,Full Sun–Part Sun,Mesic–Moist,"High wildlife value, tolerates wet feet",https://inaturalist-open-data.s3.amazonaws.com/photos/3119507/medium.JPG,,Woody,M,Medium,4 - Strong,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,8,,medium,high,medium,no,no,no,tolerant,marginal,avoid,September,October,Red-black berries; clean pulp; cold stratify,120,Divide suckers in early spring; spreads by root suckers,yes,Edible berries; astringent,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia arbutifolia
Purple Chokeberry,Aronia floribunda,,,Shrub – Small,Native,Spring,Berries / fall color,Medium,Sun–Part Shade,Mesic,Fruit-producing shrub with strong fall color,https://inaturalist-open-data.s3.amazonaws.com/photos/278430901/medium.jpg,,Wildlife shrub,N,Medium,4 - Strong,3 - OK,4 - Strong,3 - OK,4 - Strong,3 - OK,3 - OK,Yes,Yes,Yes,Yes,Shrub,white,,high,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Red-black berries; clean pulp; cold stratify,62,yes,Edible berries,no,,3,No,,,3,,Aronia floribunda
Black Chokeberry,Aronia melanocarpa,,Shrub – Large,Native,No,Spring / Fall / Winter,Structural,Full Sun–Part Sun,Mesic,Better fruit set than red chokeberry,https://inaturalist-open-data.s3.amazonaws.com/photos/12231787/medium.jpg,,Woody,N,Small,4 - Strong,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,6,,medium,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Black berries; clean pulp; cold stratify,120,Divide suckers in early spring; spreads by root suckers,yes,Edible berries,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia melanocarpa
Black Chokeberry 'Autumn Magic',Aronia melanocarpa 'Autumn Magic',,Shrub,Native Cultivar,No,Fall Color,Tall,Full Sun–Part Sun,Mesic,"Compact form, reliable red fall foliage",,,,,,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,No,No,No,No,Shrub,6,,medium,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Black berries; clean pulp; cold stratify,120,Divide suckers in early spring; may not come true,yes,Edible berries,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia melanocarpa 'Autumn Magic'
Black Chokeberry 'Brilliantissima',Aronia melanocarpa 'Brilliantissima',,Shrub,Native Cultivar,No,Fall Color,Tall,Full Sun–Part Sun,Mesic,Selected for vivid red fall foliage,,,,,,4 - Strong,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,No,No,No,No,Shrub,6,,medium,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Black berries; clean pulp; cold stratify,120,Divide suckers in early spring; may not come true,yes,Edible berries,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia melanocarpa 'Brilliantissima'
Black Chokeberry 'Morton' (Iroquois Beauty™),Aronia melanocarpa 'Morton',,Shrub,Native Cultivar,No,Fall Color,Tall,Full Sun–Part Sun,Mesic,"Upright habit, ornamental selection",,,,,,4 - Strong,3 - OK,4 - Strong,4 - Strong,4 - Strong,3 - OK,4 - Strong,No,No,No,No,Shrub,6,,medium,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Black berries; clean pulp; cold stratify,120,Divide suckers in early spring; may not come true,yes,Edible berries,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia melanocarpa 'Morton'
Aruncus dioicus,Aronia melanocarpa 'Viking',,Shrub,Native Cultivar,No,Fall Color,Tall,Full Sun–Part Sun,Mesic,"Large fruit, strong fall color, common cultivar",,,,,,4 - Strong,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,No,No,No,No,Shrub,6,,medium,medium,medium,no,no,no,tolerant,marginal,avoid,August,September,Black berries; clean pulp; cold stratify,120,Divide suckers in early spring; may not come true,yes,Edible berries,no,,white,Late Spring,4,5,white,#FFFFFF,Aronia melanocarpa 'Viking'
Asarum canadense,,,Flowering Perennial,Native,No,Summer Interest,Structural,Part Sun–Shade,Mesic–Moist,Big white plumes; great astilbe alternative,https://inaturalist-open-data.s3.amazonaws.com/photos/153826729/medium.jpg,,Anchor,N,Medium,3 - OK,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,3 - OK,3 - OK,Yes,No,Yes,No,Herbaceous,5,,low,low,low,no,no,no,unknown,marginal,avoid,August,September,Tiny dry follicles; shake seeds out,10,Divide in early spring; slow to establish — be patient,with caveats,Young shoots edible in spring; older plant not edible,no,,white | cream,Early Summer,5,6,white | cream,#FFFFFF,Aruncus dioicus
Wild Ginger,,,Groundcover,Native,Partly,Spring,Low,Shade,Mesic,Dense shade mat,https://inaturalist-open-data.s3.amazonaws.com/photos/189352022/medium.jpg,,Ground,N,Small,2 - Marginal,1 - Don't Use,3 - OK,3 - OK,4 - Strong,5 - Best Fit,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,0.5,,low,low,low,no,no,no,tolerant,tolerant,marginal,May,June,Collect small capsules before ants take seeds,10,Divide in early spring as leaves emerge; spreads by rhizome,no,Toxic compounds; not recommended,with caveats,Historically used medicinally; use with caution,,Early Summer,5,6,,,Asarum canadense
European Wild Ginger,Asarum europaeum,,Groundcover,Safe Non-Native,Yes,Spring / Summer,Low,Shade,Mesic,glossy evergreen groundcover in deep shade,https://inaturalist-open-data.s3.amazonaws.com/photos/124627/medium.jpg,,,,,2 - Marginal,3 - OK,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,0.5,dark green,low,low,low,no,no,no,unknown,marginal,tolerant,May,June,Small dry capsules,10,Divide in early spring as leaves emerge; spreads slowly,no,Toxic,no,,,n/a,,,,,Asarum europaeum
Swamp Milkweed,Asclepias incarnata,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun,Moist,Monarch host for wet areas,https://inaturalist-open-data.s3.amazonaws.com/photos/21590017/medium.jpg,,Anchor,N,Small,2 - Marginal,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,mild,mild,mild,unknown,avoid,avoid,August,October,Silky pods split open; collect before wind dispersal,15,Divide in early spring; spreads by rhizome,with caveats,Edible cooked; young shoots only; milky sap irritating,no,,pink | rose,Mid/Late Summer,6,9,pink | rose,#E8829A,Asclepias incarnata
Butterfly Weed,Asclepias tuberosa,,Flowering Perennial,Native,No,Summer / Fall,Mid,Full Sun,Dry,Best Monarch host for upland dry,https://inaturalist-open-data.s3.amazonaws.com/photos/206558098/medium.jpeg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,1 - Don't Use,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,2,,low,low,low,mild,mild,mild,unknown,avoid,avoid,August,October,Silky pods split open; collect before wind dispersal,15,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil before leaves emerge.",with caveats,Traditional edible use; young shoots cooked,no,,orange,Mid/Late Summer,6,9,orange,#F4741E,Asclepias tuberosa
Pawpaw,Asimina triloba,,Midstory Tree,Native,No,Spring flowers; large tropical fruit,Structural,Part Sun–Shade,Mesic–Moist,The only native host plant for the zebra swallowtail butterfly. Largest edible native fruit in North America. Spreads by root suckers to form thickets. Shade tolerant understory tree.,https://inaturalist-open-data.s3.amazonaws.com/photos/4948460/medium.jpg,,Woody,M,Medium,2 - Marginal,2 - Marginal,4 - Strong,5 - Best Fit,5 - Best Fit,3 - OK,2 - Marginal,Yes,No,Yes,No,Tree,25,yellow,low,low,low,no,no,no,unknown,marginal,marginal,September,October,Large soft green-yellow fruits; collect when slightly soft; separate pulp and cold stratify seeds,15,Divide suckers in early spring; also grows from fresh seed though slow to establish,yes,Pawpaw fruit edible; rich custard flavor,no,,maroon,Early Spring,2,3,maroon,#7B2340,Asimina triloba
Astilbe (hybrid group),Astilbe x arendsii,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic–Moist,"plume flowers, reliable in moist soils",https://inaturalist-open-data.s3.amazonaws.com/photos/44554961/medium.jpg,,,,,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,2 - Marginal,No,No,No,No,Herbaceous,3,,medium,low,low,no,no,no,unknown,avoid,avoid,August,September,Hybrid — seeds may not come true,0,Divide in early spring or fall,no,,no,,pink | white | red | purple,Early Summer,5,6,pink | white | red | purple,#E8829A,Astilbe x arendsii
Masterwort,Astrantia major,,Flowering Perennial,Safe Non-Native,No,Summer / Fall,Mid,Part Sun–Shade,Mesic,"intricate flowers, thrives in cool soils",https://inaturalist-open-data.s3.amazonaws.com/photos/558830286/medium.jpg,,,,,3 - OK,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,3 - OK,No,No,No,No,Herbaceous,2,,low,low,low,no,no,no,unknown,avoid,avoid,July,August,Small dry nutlets in umbels,0,Divide in early spring or fall; resents disturbance — divide carefully,no,,no,,white | pink,Early Summer,5,6,white | pink,#FFFFFF,Astrantia major
Lady Fern,Athyrium angustum,,Fern,Native,No,Fine foliage,Medium,Part Shade–Shade,Mesic to Moist,Spreading woodland fern; good matrix plant in mesic shade,https://inaturalist-open-data.s3.amazonaws.com/photos/424502100/medium.jpeg,,Understory fill,N,Medium,Spreading woodland fern; good matrix plant,,,,,,,Yes,No,Yes,No,Herbaceous,3,,low,low,low,no,no,no,unknown,marginal,avoid,June,August,"Fern — produces spores, not seeds",5,Divide in early spring as fronds emerge; easy,no,,no,,,Spring–Fall,3,10,,,Athyrium angustum
Groundseltree,Baccharis halimifolia,,Shrub – Large,Native,Partly,Fall / Winter,Structural,Full Sun,Mesic–Moist,"Coastal tolerant, late white bloom",https://static.inaturalist.org/photos/56150639/medium.jpg,,Woody,M,Medium,4 - Strong,2 - Marginal,4 - Strong,5 - Best Fit,4 - Strong,3 - OK,4 - Strong,Yes,Yes,Yes,Yes,Shrub,10,,low,low,low,mild,mild,mild,unknown,avoid,avoid,October,November,Fluffy achenes; collect before dispersal,15,Division not practical; best from softwood cuttings in summer,no,,no,,white,Late Summer/Fall,8,10,white,#FFFFFF,Baccharis halimifolia
Blue False Indigo,Baptisia australis,,Flowering Perennial,Near-Native,`,Summer / Fall,Structural,Full Sun,Dry–Mesic,"Deep-rooted perennial, rattling pods in summer, fall",https://inaturalist-open-data.s3.amazonaws.com/photos/91520902/medium.jpeg,,,,,5 - Best Fit,3 - OK,4 - Strong,3 - OK,3 - OK,3 - OK,5 - Best Fit,Yes,No,Yes,No,Herbaceous,4,blue-gray,low,low,low,mild,mild,mild,tolerant,avoid,avoid,August,September,Inflated pods; collect when brown,25,Divide in early spring; deep taproot — take generous rootball,no,Toxic,no,,blue | purple,Mid/Late Summer,6,9,blue | purple,#4A7FC1,Baptisia australis
Yellow Wild Indigo,Baptisia tinctoria,,Flowering Perennial,Native,No,Summer / Fall,Tall,Full Sun,Dry–Mesic,"Small leafed, dry tolerant",https://inaturalist-open-data.s3.amazonaws.com/photos/2371460/medium.jpg,,,,,5 - Best Fit,5 - Best Fit,3 - OK,1 - Don't Use,1 - Don't Use,3 - OK,5 - Best Fit,Yes,Yes,Yes,Yes,Herbaceous,3,blue-gray,low,low,low,mild,mild,mild,tolerant,avoid,avoid,August,September,Inflated pods; collect when brown and dry,25,"Live staking works well — cut pencil-thick stems in late winter, push 2/3 into moist soil before leaves emerge.",no,,with caveats,Medicinal use; toxic in large amounts — consult professional,yellow,Mid/Late Summer,6,9,yellow,#F9C820,Baptisia tinctoria
Yellow Birch,Betula alleghaniensis,,Canopy Tree,Native,No,Fall Color,Canopy,Part Sun–Sun,Mesic,Forest birch,https://inaturalist-open-data.s3.amazonaws.com/photos/35606988/medium.jpg,,Woody,N,Large,3 - OK,2 - Marginal,4 - Strong,4 - Strong,4 - Strong,3 - OK,2 - Marginal,Yes,Yes,Yes,Yes,Tree,60,yellow,medium,medium,medium,no,no,no,tolerant,tolerant,marginal,September,October,Sap usable,350,Seed,with caveats,Sap edible; can be made into syrup,no,,green,Spring,3,5,green,#5A9E5A,Betula alleghaniensis
Sweet Birch,Betula lenta,,Tree - Large,Native,No,Bark + Fall Color,Structural,Full Sun–Part Sun,Mesic,Aspen-like golden fall color; prefers moist woods,https://inaturalist-open-data.s3.amazonaws.com/photos/215065708/medium.jpg,,Woody,N,Large,3 - OK,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,1 - Don't Use,3 - OK,Yes,No,Yes,No,Tree,60,dark green,high,high,high,no,no,no,unknown,marginal,avoid,September,October,Tiny winged seeds; collect catkins as they open,350,Best grown from fresh seed; transplants poorly once established,with caveats,Bark and twigs used for wintergreen-flavored tea,yes,Bark tea used medicinally for pain relief,,Spring,3,5,,,Betula lenta
River Birch,Betula nigra,,Tree - Large,Native,No,Bark + Moisture-Adaptive,Structural,Full Sun,Mesic–Moist,Great for wet soils; resistant to bronze birch borer,https://inaturalist-open-data.s3.amazonaws.com/photos/816571/medium.jpg,,Woody,N,Large,4 - Strong,1 - Don't Use,3 - OK,5 - Best Fit,4 - Strong,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Tree,50,,high,high,high,no,no,no,tolerant,avoid,avoid,May,June,Tiny winged seeds; collect catkins as they open,350,Best grown from fresh seed; transplants poorly once established,with caveats,Sap usable,no,,,Spring,3,5,,,Betula nigra
Paper Birch,Betula papyrifera,,Tree - Large,Native,No,Bark Interest,Structural,Full Sun–Part Sun,Mesic,Classic white peeling bark; needs cooler soils,https://static.inaturalist.org/photos/318921929/medium.jpeg,,Woody,M,Large,3 - OK,2 - Marginal,3 - OK,3 - OK,4 - Strong,1 - Don't Use,3 - OK,Yes,No,Yes,No,Tree,65,,high,high,high,no,no,no,unknown,marginal,avoid,August,September,Tiny winged seeds; collect catkins as they open,350,Best grown from fresh seed; transplants poorly once established,with caveats,Sap edible,no,,,Spring,3,5,,,Betula papyrifera
Gray Birch,Betula populifolia,,Tree - Large,Native,No,Foliage + Bark,Structural,Full Sun–Part Sun,Dry–Mesic,Tough pioneer birch; thrives in poor soils,https://static.inaturalist.org/photos/141783451/medium.jpg,,Woody,M,Large,4 - Strong,4 - Strong,4 - Strong,2 - Marginal,3 - OK,1 - Don't Use,4 - Strong,Yes,Yes,Yes,Yes,Tree,30,,high,high,high,no,no,no,unknown,marginal,avoid,August,September,Tiny winged seeds disperse rapidly; collect promptly,350,Best grown from fresh seed; transplants poorly once established,with caveats,Sap edible,no,,,Spring,3,5,,,Betula populifolia
Beggartick,Bidens frondosa,,Flowering Perennial,Native,No,Fall Color,Tall,Full Sun–Part Sun,Moist–Wet,Barbed seed achenes cling to clothing and fur — important wildlife food. Bright yellow flowers attract native bees and butterflies in late season. Pioneer of wet disturbed ground.,https://inaturalist-open-data.s3.amazonaws.com/photos/261001118/medium.jpeg,,Matrix,Y,Medium,2 - Marginal,2 - Marginal,3 - OK,5 - Best Fit,3 - OK,1 - Don't Use,2 - Marginal,Yes,Yes,Yes,Yes,Herbaceous,4,,low,low,low,no,no,no,unknown,avoid,avoid,September,October,Barbed achenes; collect dry seed heads,15,Annual — grow from seed each year; self-seeds prolifically,with caveats,Seeds edible,no,,yellow | orange,Late Summer–Fall,8,10,yellow | orange,#F9C820,Bidens frondosa
Siberian Bugloss,Brunnera macrophylla,,Flowering Perennial,Safe Non-Native,No,Spring,Low,Part Sun–Shade,Mesic,"bright foliage, forget-me-not style bloom",https://inaturalist-open-data.s3.amazonaws.com/photos/36017337/medium.jpg,,,,,2 - Marginal,2 - Marginal,3 - OK,4 - Strong,5 - Best Fit,4 - Strong,2 - Marginal,No,No,No,No,Herbaceous,1.5,variegated green/white,low,low,low,no,no,no,unknown,marginal,marginal,June,July,Small nutlets; collect when dry,0,Divide in early spring or fall; easy from offsets,no,,no,,blue,Early Spring,2,3,blue,#4A7FC1,Brunnera macrophylla
Beautyberry,Callicarpa americana,,Shrub,Safe Non-Native,No,Fall berries,Structural,Full Sun–Part Sun,Mesic,Iridescent violet-purple berry clusters in fall are among the most striking of any shrub. Birds love the fruit. Native to southeastern US; performs well in MA. Tolerates part shade.,https://inaturalist-open-data.s3.amazonaws.com/photos/225612223/medium.jpeg,,Woody,N,Medium,2 - Marginal,2 - Marginal,4 - Strong,3 - OK,4 - Strong,2 - Marginal,3 - OK,No,No,Yes,No,Shrub,6,purple,low,low,low,no,no,no,unknown,marginal,marginal,September,October,Brilliant purple berries in dense clusters; clean pulp; cold stratify,0,Division or softwood cuttings in summer; also from seed,with caveats,Berries edible in small amounts; not palatable,no,,pink | lavender,Mid/Late Summer,6,9,pink | lavender,#E8829A,Callicarpa americana
